Description,Location,Links,State,Area,Price,Bedrooms,Bathrooms,Agent_number,Added_on,Updated_on
beautiful 7 bedroom duplex with 5 rooms ensuit,Thinkers Estate In Thinkers Corner Enugu Enugu,https://www.propertypro.ng/property/7-bedroom-house-for-rent-thinkers-estate-in-thinkers-corner-enugu-enugu-1FVJX,Enugu,Enugu,2000000,5,8,08060036824,22 Dec 2021,19 Feb 2022
lovely modern 9 units of 3 bedroom flat with a room bq each,Toyin Street Ikeja Lagos,https://www.propertypro.ng/property/3-bedroom-house-for-rent-toyin-street-ikeja-lagos-5FXXV,Lagos,Ikeja,3000000,3,3,08133154602,20 Jan 2022,19 Feb 2022
4 bedrooms bungalow,Agodi Gra Ibadan Oyo,https://www.propertypro.ng/property/house-for-rent-agodi-gra-ibadan-oyo-5GBAJ,Oyo,Ibadan,1500000,4,4,08052778232,11 Feb 2022,19 Feb 2022
executive luxury modern fully furnished 4bedroom self compound duplex,Allen Avenue Ikeja Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-allen-avenue-ikeja-lagos-4FWQM,Lagos,Ikeja,7000000,1,3,09083016090,09 Jan 2022,19 Feb 2022
newly built all en suite 4 bedroom,Chevron Drive Lekki Phase 2 Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-chevron-drive-lekki-phase-2-lekki-lagos-5FXMC,Lagos,Lekki,5000000,4,5,09090407416,17 Jan 2022,19 Feb 2022
newly built 3 bedroom block of flat,Kaura District Kaura (games Village) Abuja,https://www.propertypro.ng/property/3-bedroom-house-for-rent-kaura-district-kaura-games-village-abuja-6FXTT,Abuja,Village),2500000,3,4,07062047199,18 Jan 2022,19 Feb 2022
3 bedroom flat,"Oke Avenue, Peluseriki Akala Express Ibadan Oyo",https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-oke-avenue-peluseriki-akala-express-ibadan-oyo-5FYJV,Oyo,Ibadan,500000,3,3,07037117785,24 Jan 2022,19 Feb 2022
fancy 2 bedrooms with big balcony,Ikate Lekki Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-ikate-lekki-lagos-5FXFR,Lagos,Lekki,2500000,2,2,08038125965,14 Jan 2022,19 Feb 2022
3 bedroom flat,Adetola Street Aguda Surulere Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-adetola-street-aguda-surulere-lagos-6GAPT,Lagos,Surulere,2000000,3,3,08099275848,08 Feb 2022,19 Feb 2022
2 bedroom apartment,Estate Ago Palace Okota Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-estate-ago-palace-okota-lagos-3GANS,Lagos,Okota,1300000,2,3,08037405229,08 Feb 2022,19 Feb 2022
luxury 2 bedroom apartment,Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-lekki-phase-1-lekki-lagos-6FSLN,Lagos,Lekki,3000000,2,2,08062619955,24 Nov 2021,19 Feb 2022
3 bedroom massionette,Banana Island Ikoyi Lagos,https://www.propertypro.ng/property/3-bedroom-house-for-rent-banana-island-ikoyi-lagos-6FYEH,Lagos,Ikoyi,15000000,3,3,08126572402,21 Jan 2022,19 Feb 2022
new built luxury serviced 3 bedroom all rooms en suite apartment plus a room bq,Lekki Right Side Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-lekki-right-side-lekki-phase-1-lekki-lagos-7FYMX,Lagos,Lekki,5000000,3,3,08164687732,24 Jan 2022,19 Feb 2022
serviced miniflat,Shoprite Road Osapa London Lekki Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-shoprite-road-osapa-london-lekki-lagos-2GBJE,Lagos,Lekki,1800000,1,1,08168285322,14 Feb 2022,19 Feb 2022
high class 3 bedroom apartment + bq+ tennis +squash+gym+etc @n20m,Old Ikoyi Ikoyi Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-old-ikoyi-ikoyi-lagos-7FXZF,Lagos,Ikoyi,20000000,3,3,08124269637,20 Jan 2022,24 Feb 2022
2 bedroom flat for rent,Greenville Estate Badore Ajah Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-greenville-estate-badore-ajah-lagos-0FVGK,Lagos,Ajah,900000,2,3,09019130737,21 Dec 2021,19 Feb 2022
tastefully built miniflat apartment,P And T Estate Boys Town Ipaja Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-p-and-t-estate-boys-town-ipaja-lagos-6FZWL,Lagos,Ipaja,500000,1,2,08135357500,03 Feb 2022,19 Feb 2022
newly built room self contain,Aromolaran Agodi Ibadan Oyo,https://www.propertypro.ng/property/flat-apartment-for-rent-aromolaran-agodi-ibadan-oyo-6FZCE,Oyo,Ibadan,250000,1,1,09026318426,28 Jan 2022,19 Feb 2022
newly remodeled luxury 4 bedroom fully finished and serviced terrace duplex,"Alice Mews Estate, Ikota Lekki Lagos State Ikota Lekki Lagos",https://www.propertypro.ng/property/4-bedroom-house-for-rent-alice-mews-estate-ikota-lekki-lagos-state-ikota-lekki-lagos-4FZMX,Lagos,Lekki,3500000,4,5,08035225824,01 Feb 2022,19 Feb 2022
newly renovated 2 bedroom flat upstairs,Ahlaji Salami Off Brown Rd Aguda Surulere. Aguda Surulere Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-ahlaji-salami-off-brown-rd-aguda-surulere-aguda-surulere-lagos-2FYPE,Lagos,Surulere,2000000,2,2,08099275848,25 Jan 2022,19 Feb 2022
relatively new 3 bedroom terrace duplex with bq,Ologolo Ologolo Lekki Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-ologolo-ologolo-lekki-lagos-7FWSE,Lagos,Lekki,3000000,3,3,08061641323,10 Jan 2022,19 Feb 2022
4 bedroom fully finished and serviced terrace duplex,Ikota Villa Estate Lekki Lagos State Ikota Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-ikota-villa-estate-lekki-lagos-state-ikota-lekki-lagos-7FZMY,Lagos,Lekki,3000000,4,5,08035225824,01 Feb 2022,19 Feb 2022
newly renovated built 2 bedroom flat,Fadeyi Jibowu Yaba Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-fadeyi-jibowu-yaba-lagos-0FYHM,Lagos,Yaba,900000,2,2,08062371593,23 Jan 2022,19 Feb 2022
5 bedroom duplex,Ebute Ikorodu Lagos,https://www.propertypro.ng/property/5-bedroom-house-for-rent-ebute-ikorodu-lagos-4GBMH,Lagos,Ikorodu,1000000,5,5,07010568925,15 Feb 2022,19 Feb 2022
6 units of terrace of 4bedroom & bq,Ilasan Lekki Lagos,https://www.propertypro.ng/property/house-for-sale-ilasan-lekki-lagos-4GAMG,Lagos,Lekki,155000000,4,4,08032351896,08 Feb 2022,23 Feb 2022
serviced 4 bedroom terrace duplex,Ikate Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-ikate-lekki-lagos-6FXZM,Lagos,Lekki,4500000,4,4,08099275848,20 Jan 2022,19 Feb 2022
a serviced 200 sqm office space,S Sanusi Fafunwa Victoria Island Lagos,https://www.propertypro.ng/property/commercial-property-for-rent-s-sanusi-fafunwa-victoria-island-lagos-3FABC,Lagos,Island,6000000,2,2,08121377323,12 Jul 2021,19 Feb 2022
luxury 4 bedroom all rooms en suite semi detached duplex plus 2 rooms bq,Off Admiralty Way Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-off-admiralty-way-lekki-phase-1-lekki-lagos-6FYMY,Lagos,Lekki,8000000,4,4,08164687732,25 Jan 2022,19 Feb 2022
newly built 2 bedroom ground flat,Ebute Metta Yaba Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-ebute-metta-yaba-lagos-9FYZZ,Lagos,Yaba,1000000,2,2,08099275848,28 Jan 2022,19 Feb 2022
3 bedroom bungalow,Marshy Hills Estate Badore Ajah Lagos,https://www.propertypro.ng/property/3-bedroom-house-for-rent-marshy-hills-estate-badore-ajah-lagos-5FWSP,Lagos,Ajah,1500000,3,3,07065454863,10 Jan 2022,19 Feb 2022
a room self contain,Agodi Ibadan Oyo,https://www.propertypro.ng/property/flat-apartment-for-rent-agodi-ibadan-oyo-3GBEA,Oyo,Ibadan,230000,1,1,07065372133,13 Feb 2022,19 Feb 2022
room self contain,Chevy View Estate Chevron Lekki Lagos,https://www.propertypro.ng/property/house-for-rent-chevy-view-estate-chevron-lekki-lagos-4FUTV,Lagos,Lekki,850000,1,1,08061641323,15 Dec 2021,19 Feb 2022
4 bedrooms semi detached duplex,Gwarinpa Abuja,https://www.propertypro.ng/property/4-bedroom-house-for-rent-gwarinpa-abuja-4FZNM,Abuja,Gwarinpa,5000000,4,5,08142466617,01 Feb 2022,19 Feb 2022
newly built luxury 3 bedroom,Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-lekki-phase-1-lekki-lagos-5FXJC,Lagos,Lekki,5000000,3,3,08164687732,15 Jan 2022,19 Feb 2022
"a newly built self contain bungalow very spacious all round tiles, well painted at igboho street ogudu orioke, ogudu","Off Igboho Street Ogudu Orioke, Via Alapere, Ogudu Orioke Lagos Ogudu Orike Ogudu Lagos",https://www.propertypro.ng/property/flat-apartment-for-rent-off-igboho-street-ogudu-orioke-via-alapere-ogudu-orioke-lagos-ogudu-orike-ogudu-lagos-5EKEH,Lagos,Ogudu,200000,1,1,08033657909,07 Mar 2021,19 Feb 2022
spacious all rooms en suite 2 bedroom flat,Ladi Lak Shomolu Lagos,https://www.propertypro.ng/property/2-bedroom-house-for-rent-ladi-lak-shomolu-lagos-3FYDK,Lagos,Shomolu,900000,2,2,08125135974,21 Jan 2022,19 Feb 2022
recently renovated city view 4 bedroom apartment + bq + gym + tennis court + squash + pool+gym etc in ocean parade banana island,Banana Island Estate Banana Island Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-rent-banana-island-estate-banana-island-ikoyi-lagos-8FVLS,Lagos,Ikoyi,12000000,4,4,08124269637,23 Dec 2021,24 Feb 2022
4 bedroom terrace house,Tiamiyu Savage Victoria Island Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-tiamiyu-savage-victoria-island-lagos-4FYMA,Lagos,Island,10000000,4,4,08126572402,24 Jan 2022,19 Feb 2022
elegant built 3bedroom flat with all modern facilities,Grace Estate Akala Express Ibadan Oyo,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-grace-estate-akala-express-ibadan-oyo-2FXJD,Oyo,Ibadan,700000,3,4,08142185274,15 Jan 2022,19 Feb 2022
two bedroom flat with one toilet,Emily Boundary Ikorodu Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-emily-boundary-ikorodu-lagos-8FXCV,Lagos,Ikorodu,180000,2,1,08177520676,13 Jan 2022,19 Feb 2022
2 units of newly remodelled 1 bedroom mini flat,Off Amadasun Street Ologolo Lekki Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-off-amadasun-street-ologolo-lekki-lagos-4GBAB,Lagos,Lekki,1500000,1,1,08062619955,11 Feb 2022,19 Feb 2022
studio apartment,Udado Estate Idado Lekki Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-udado-estate-idado-lekki-lagos-3FZKZ,Lagos,Lekki,1300000,1,1,08086267650,31 Jan 2022,19 Feb 2022
brand new mini flat,Ebute Metta Yaba Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-ebute-metta-yaba-lagos-7FZXS,Lagos,Yaba,650000,1,1,08084789565,03 Feb 2022,19 Feb 2022
newly built two bedrooms,Ogudu Orike Ogudu Lagos,https://www.propertypro.ng/property/2-bedroom-house-for-rent-ogudu-orike-ogudu-lagos-8GBRC,Lagos,Ogudu,700000,2,2,08148495671,16 Feb 2022,19 Feb 2022
room self contain,Aworawo Iwo Road Express Way Ibadan Ojoo Ibadan Oyo,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-aworawo-iwo-road-express-way-ibadan-ojoo-ibadan-oyo-4GAMU,Oyo,Ibadan,100000,1,1,08089882299,08 Feb 2022,19 Feb 2022
newly built 2 bedroom flat @ olokunla,Olokonla Ajah Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-olokonla-ajah-lagos-7FYSF,Lagos,Ajah,1600000,2,2,08137224561,26 Jan 2022,19 Feb 2022
550sqm land,Ogudu Orike Ogudu Lagos,https://www.propertypro.ng/property/land-for-sale-ogudu-orike-ogudu-lagos-9GAMG,Lagos,Ogudu,45000000,5,5,08032351896,08 Feb 2022,23 Feb 2022
newly built 4 bedrooms duplex,Oluyole Estate Ibadan Oyo,https://www.propertypro.ng/property/4-bedroom-house-for-rent-oluyole-estate-ibadan-oyo-1GBDZ,Oyo,Ibadan,1500000,4,5,07065372133,13 Feb 2022,19 Feb 2022
luxury 2 bedroom,Ikate Ikate Lekki Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-ikate-ikate-lekki-lagos-9GADU,Lagos,Lekki,3000000,2,3,08038125965,05 Feb 2022,19 Feb 2022
newly built 4 units of 2 bedroom apartments,"Duro Street, Idi Ahun, Elebu Off Akala Express, Oluyole Estate Ibadan Oyo",https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-duro-street-idi-ahun-elebu-off-akala-express-oluyole-estate-ibadan-oyo-1GAHV,Oyo,Ibadan,400000,4,2,08139409831,07 Feb 2022,19 Feb 2022
lovely 2 bedroom,Ikate Ikate Lekki Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-ikate-ikate-lekki-lagos-0FYQN,Lagos,Lekki,3700000,2,2,08038125965,25 Jan 2022,19 Feb 2022
7 bedroom detached house with 2 bq,Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/7-bedroom-house-for-rent-lekki-phase-1-lekki-lagos-4FYVM,Lagos,Lekki,11000000,2,2,08126572402,26 Jan 2022,19 Feb 2022
executive serviced 3bedroom flat,Idado Estate Idado Lekki Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-idado-estate-idado-lekki-lagos-9FZGT,Lagos,Lekki,3000000,3,3,08061641323,31 Jan 2022,19 Feb 2022
brand new 2bedroom flat,Olive Estate Ago Palace Okota Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-olive-estate-ago-palace-okota-lagos-7FZTC,Lagos,Okota,1300000,2,3,07032493391,02 Feb 2022,19 Feb 2022
3bedroom flat,Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-lekki-phase-1-lekki-lagos-7FZXT,Lagos,Lekki,3500000,3,3,09064090448,03 Feb 2022,19 Feb 2022
2 bedroom apartment,Festac Amuwo Odofin Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-festac-amuwo-odofin-lagos-0FZWU,Lagos,Odofin,1600000,2,3,08037405229,03 Feb 2022,19 Feb 2022
contemporary fully detached 5bedroom house located in a serene environment,Chevron Lekki Lagos,https://www.propertypro.ng/property/5-bedroom-house-for-rent-chevron-lekki-lagos-7FWMJ,Lagos,Lekki,6000000,5,5,08057121358,07 Jan 2022,19 Feb 2022
high class 3 bedroom apartment + bq+ tennis +squash+gym+etc @n20m,Old Ikoyi Ikoyi Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-old-ikoyi-ikoyi-lagos-7FXZF,Lagos,Ikoyi,20000000,3,3,08124269637,20 Jan 2022,24 Feb 2022
lovely 3bedroom flat,Banana Island Ikoyi Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-banana-island-ikoyi-lagos-9FYGA,Lagos,Ikoyi,15000000,3,3,08126572402,22 Jan 2022,19 Feb 2022
3bedroom flat,Magodo Scheme Magodo Gra Phase 1 Ojodu Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-magodo-scheme-magodo-gra-phase-1-ojodu-lagos-1GARU,Lagos,Ojodu,1800000,3,3,09039408141,09 Feb 2022,19 Feb 2022
lovely 2bedroom flat,Alagbado Abule Egba Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-alagbado-abule-egba-lagos-8GBFX,Lagos,Egba,300000,2,3,08033876086,13 Feb 2022,19 Feb 2022
3 bedroom flat,Thomas Estate Thomas Estate Ajah Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-thomas-estate-thomas-estate-ajah-lagos-4FXYT,Lagos,Ajah,1000000,3,3,07065454863,20 Jan 2022,19 Feb 2022
newly built mini flat,Alagomeji Alagomeji Yaba Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-alagomeji-alagomeji-yaba-lagos-3GARH,Lagos,Yaba,1200000,1,1,08062371593,09 Feb 2022,19 Feb 2022
new house,Ikota Lekki Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-ikota-lekki-lagos-9FZEM,Lagos,Lekki,2200000,2,2,08126572402,29 Jan 2022,19 Feb 2022
nice 1 bedroom flat,Located Close To Redeemer School Lugbe Abuja,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-located-close-to-redeemer-school-lugbe-abuja-1GAHQ,Abuja,Lugbe,550000,1,2,08066627552,07 Feb 2022,19 Feb 2022
luxury 2 bedroom apartment,Lagos Island Lagos Island Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-sale-lagos-island-lagos-island-lagos-6FEBH,Lagos,Island,112000000,2,2,08050606090,13 Aug 2021,24 Feb 2022
lovely 4 bedroom terrace duplex,By World Oil Ilasan Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-by-world-oil-ilasan-lekki-lagos-6FVJD,Lagos,Lekki,5000000,4,4,08104317542,22 Dec 2021,19 Feb 2022
newly built exotic room and parlor,"Akoto Estate, Elebu Oluyole Extension Akala Express Ibadan Oyo",https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-akoto-estate-elebu-oluyole-extension-akala-express-ibadan-oyo-2FYPC,Oyo,Ibadan,450000,1,1,07037117785,25 Jan 2022,19 Feb 2022
nicely built 4 bedroom duplex,Mayfair Gardens Estate Awoyaya Eputu Ibeju Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-mayfair-gardens-estate-awoyaya-eputu-ibeju-lekki-lagos-5FYTD,Lagos,Lekki,2500000,4,4,08066187389,26 Jan 2022,19 Feb 2022
decent 4 bedroom detached duplex with a room bq,Millenuim Ups Gbagada Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-millenuim-ups-gbagada-lagos-1FXBN,Lagos,Gbagada,4000000,4,4,08148495671,13 Jan 2022,19 Feb 2022
3 bedroom luxury apartments,Lakepoint Apartments Banana Island Banana Island Ikoyi Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-lakepoint-apartments-banana-island-banana-island-ikoyi-lagos-6GAWB,Lagos,Ikoyi,25000000,3,3,08038479985,10 Feb 2022,19 Feb 2022
luxury 4 bedroom duplex fully furnished,Located By The Second Toll Gate Chevron Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-located-by-the-second-toll-gate-chevron-lekki-lagos-2FWJS,Lagos,Lekki,6000000,4,4,08164968133,06 Jan 2022,19 Feb 2022
3bedroom flat,"Near Leadway Assurance Plc, Estate Alaka Iponri Surulere Lagos",https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-near-leadway-assurance-plc-estate-alaka-iponri-surulere-lagos-3FXFP,Lagos,Surulere,2700000,3,3,09060631614,14 Jan 2022,19 Feb 2022
miniflat,Ojodu Berger Ojodu Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-ojodu-berger-ojodu-lagos-7GANK,Lagos,Ojodu,500000,1,1,09039408141,08 Feb 2022,19 Feb 2022
mini flat (room and palour),Anu Crescent Badore Ajah Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-anu-crescent-badore-ajah-lagos-0FZUF,Lagos,Ajah,700000,1,2,09019130737,03 Feb 2022,19 Feb 2022
recently renovated city view 4 bedroom apartment + bq + gym + tennis court + squash + pool+gym etc in ocean parade banana island,Banana Island Estate Banana Island Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-rent-banana-island-estate-banana-island-ikoyi-lagos-8FVLS,Lagos,Ikoyi,12000000,4,4,08124269637,23 Dec 2021,24 Feb 2022
newly built room self contain,Ebute Metta Adekunle Yaba Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-ebute-metta-adekunle-yaba-lagos-6FZQU,Lagos,Yaba,400000,1,1,08062371593,02 Feb 2022,19 Feb 2022
luxury and executive 2 / 3 bedroom,Off Masha Kilo Road Kilo Marsha Surulere Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-off-masha-kilo-road-kilo-marsha-surulere-lagos-8FNFE,Lagos,Surulere,1700000,3,3,08033149535,18 Oct 2021,19 Feb 2022
decent brand new 3bedroom flat,Mende Maryland Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-mende-maryland-lagos-1FUXG,Lagos,Maryland,1800000,3,3,08033115125,16 Dec 2021,19 Feb 2022
self contain & mini flat,University Estate By Lbs Sangotedo Lbs Ibeju Lekki Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-university-estate-by-lbs-sangotedo-lbs-ibeju-lekki-lagos-3FXJC,Lagos,Lekki,800000,1,1,07084372290,15 Jan 2022,19 Feb 2022
newly built 2bedroom flat,"Oke Ibukun, Elebu Oluyole Extension Akala Express Ibadan Oyo",https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-oke-ibukun-elebu-oluyole-extension-akala-express-ibadan-oyo-7FYSL,Oyo,Ibadan,600000,2,2,07037117785,26 Jan 2022,19 Feb 2022
mini flat,Bada Iyana Ipaja Ipaja Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-bada-iyana-ipaja-ipaja-lagos-8FKJR,Lagos,Ipaja,300000,1,1,08033876086,22 Sep 2021,19 Feb 2022
lovely newly built 2 bedroom flat,Glory Estate Command Ipaja Lagos Ipaja Ipaja Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-glory-estate-command-ipaja-lagos-ipaja-ipaja-lagos-5FWRX,Lagos,Ipaja,600000,2,2,08180050503,10 Jan 2022,19 Feb 2022
well finished 1 bedroom flat,Gudu Extension Apo Abuja,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-gudu-extension-apo-abuja-2GAGK,Abuja,Apo,1500000,1,1,08147562407,06 Feb 2022,19 Feb 2022
tastefully 5bedroom duplex + bq serviced,Located At Lekki Phase 1 Right Hand Side By Oniru Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/5-bedroom-house-for-rent-located-at-lekki-phase-1-right-hand-side-by-oniru-lekki-phase-1-lekki-lagos-7FWET,Lagos,Lekki,6000000,5,5,08164968133,05 Jan 2022,19 Feb 2022
newly built mini flats and 2bedrooms,Olowora Ojodu Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-olowora-ojodu-lagos-7FQHY,Lagos,Ojodu,800000,1,1,07081528035,05 Nov 2021,19 Feb 2022
newly built and tastefully finished 2 bedroom flat,Kajola Lakowe Ajah Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-kajola-lakowe-ajah-lagos-3FYYG,Lagos,Ajah,1000000,2,2,07065454863,27 Jan 2022,19 Feb 2022
newly built 2 bedroom flat,Valley View Estate Ebute Ikorodu Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-valley-view-estate-ebute-ikorodu-lagos-7GAXQ,Lagos,Ikorodu,500000,2,2,08177520676,10 Feb 2022,19 Feb 2022
newly built 2 bedroom flat apartment,Lamination Ayobo Ipaja Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-lamination-ayobo-ipaja-lagos-3FXBU,Lagos,Ipaja,500000,2,3,08135357500,13 Jan 2022,19 Feb 2022
a room shared apartment,Beside Bakare Estate Agungi Lekki Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-beside-bakare-estate-agungi-lekki-lagos-2FZRU,Lagos,Lekki,500000,1,1,08086267650,02 Feb 2022,19 Feb 2022
newly built to taste 5bedroom duplex,Ocean Breeze Estate Ologolo Lekki Lagos,https://www.propertypro.ng/property/5-bedroom-house-for-rent-ocean-breeze-estate-ologolo-lekki-lagos-0FXDN,Lagos,Lekki,7000000,5,5,08168285322,13 Jan 2022,19 Feb 2022
recently renovated city view 4 bedroom apartment + bq + gym + tennis court + squash + pool+gym etc in ocean parade banana island,Banana Island Estate Banana Island Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-rent-banana-island-estate-banana-island-ikoyi-lagos-8FVLS,Lagos,Ikoyi,12000000,4,4,08124269637,23 Dec 2021,24 Feb 2022
decent mini flat,Olaleye Street Shomolu Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-olaleye-street-shomolu-lagos-1FTJT,Lagos,Shomolu,600000,1,1,08084789565,02 Dec 2021,19 Feb 2022
brand new 2 bedroom flat,Ishaga Road Iju Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-ishaga-road-iju-lagos-2ERAK,Lagos,Iju,1200000,2,2,08033149535,10 May 2021,19 Feb 2022
lovely 2bedroom flat,Norma William Ikoyi S.w Ikoyi Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-norma-william-ikoyi-sw-ikoyi-lagos-4FYEJ,Lagos,Ikoyi,2000000,2,2,08126572402,21 Jan 2022,19 Feb 2022
2 bedroom duplex,Agungi Lekki Lagos,https://www.propertypro.ng/property/2-bedroom-house-for-rent-agungi-lekki-lagos-4FXFF,Lagos,Lekki,2500000,2,2,08168285322,14 Jan 2022,19 Feb 2022
tastesfully built mini flat,Itele Ogun State Close To Ayobo Lagos Ayobo Ipaja Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-itele-ogun-state-close-to-ayobo-lagos-ayobo-ipaja-lagos-3GACP,Lagos,Ipaja,250000,1,1,08180050503,05 Feb 2022,19 Feb 2022
elegant 3 bedroom apartment,Spg Road Ologolo Ologolo Lekki Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-spg-road-ologolo-ologolo-lekki-lagos-5FXXA,Lagos,Lekki,3000000,3,3,08038479985,19 Jan 2022,19 Feb 2022
brand new spacious ensuites miniflat,Iwaya Yaba Lagos,https://www.propertypro.ng/property/1-bedroom-house-for-rent-iwaya-yaba-lagos-8FZCV,Lagos,Yaba,900000,1,2,08148495671,29 Jan 2022,19 Feb 2022
5 bedroom fully detached duplex,Cornelius Odinour Street Chevy View Estate Chevron Lekki Lagos,https://www.propertypro.ng/property/5-bedroom-house-for-rent-cornelius-odinour-street-chevy-view-estate-chevron-lekki-lagos-5FVBG,Lagos,Lekki,7000000,5,5,08104317542,18 Dec 2021,19 Feb 2022
"well maintained, spacious, 3bedroom terraced duplex",Vgc Lekki Lagos,https://www.propertypro.ng/property/3-bedroom-house-for-rent-vgc-lekki-lagos-6FXQR,Lagos,Lekki,3000000,3,3,08057121358,18 Jan 2022,19 Feb 2022
2 bedroom block of flats.,Agungi Lekki Lagos,https://www.propertypro.ng/property/2-bedroom-house-for-sale-agungi-lekki-lagos-0FTTJ,Lagos,Lekki,48000000,2,2,08147329552,06 Dec 2021,24 Feb 2022
1 bedroom apartment,Ogombo Ogombo Ajah Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-ogombo-ogombo-ajah-lagos-1GAZX,Lagos,Ajah,500000,1,1,09151794889,11 Feb 2022,19 Feb 2022
